"type","density","pressure","velocity:0","velocity:1","velocity:2","domain","Points:0","Points:1","Points:2"
1,1007.2,24153,-0.068165,0,-17.953,1,0.11476,0.00425,0.66445
1,1010.6,36511,-0.28445,0,-18.883,1,0.085185,0.00425,0.34995
1,1013.5,46658,0.32689,0,-15.58,1,0.12815,0.00425,0.067935
1,1013,45197,0.0282,0,-18.853,1,0.075661,0.00425,0.034253
1,1003.6,12180,-0.59491,0,-17.807,1,0.1149,0.00425,0.22367
1,1011.4,39453,-0.20861,0,-17.894,1,0.059729,0.00425,0.66744
0,1000,2.8582,0,0,0,1,0.19125,0.00425,0.37825
0,1000,2.8028,0,0,0,1,0.19125,0.00425,0.38675
1,1017.9,63060,-0.20045,0,-18.616,1,0.07499,0.00425,0.6804
0,1003.9,13113,0,0,0,1,0.18275,0.00425,0.37825
0,1000,3.5183,0,0,0,1,0.19125,0.00425,0.40375
1,1016.3,57178,0.96316,0,-10.954,1,0.15537,0.00425,0.18829
1,1010.2,35273,-0.46137,0,-15.333,1,0.1274,0.00425,0.086198
1,1010,34383,0.81874,0,-14.26,1,0.13865,0.00425,0.25401
0,1000,4.2696,0,0,0,1,0.19125,0.00425,0.39525
0,1003.2,10783,0,0,0,1,0.18275,0.00425,0.42075
0,1021,74760,0,0,0,1,0.17425,0.00425,0.38675
1,1024.3,87116,0.4774,0,-12.498,1,0.1506,0.00425,0.018611
1,1010.4,35458,-0.77993,0,-14.128,1,0.14216,0.00425,0.10594
0,1004.8,16011,0,0,0,1,0.18275,0.00425,0.40375
1,1015,52502,-0.0032442,0,-17.406,1,0.11728,0.00425,0.28522
0,1021.8,77099,0,0,0,1,0.17425,0.00425,0.39525
1,1017.7,61881,-0.14741,0,-18.246,1,0.097559,0.00425,0.23333
0,1004.5,15385,0,0,0,1,0.18275,0.00425,0.41225
1,1011.9,41407,0.33003,0,-18.91,1,0.098022,0.00425,0.21608
1,1021.2,75051,0.89061,0,-12.96,1,0.15049,0.00425,0.049617
1,1008.9,30401,-0.24597,0,-18.376,1,0.10006,0.00425,0.35954
0,1027.7,1.0093e+05,0,0,0,1,0.17425,0.00425,0.41225
1,1014.8,51450,0.044165,0,-17.47,1,0.11339,0.00425,0.23621
1,1009.3,31924,0.024849,0,-18.847,1,0.078335,0.00425,0.31063
1,1017.9,63048,-0.12219,0,-15.685,1,0.12731,0.00425,0.25764
1,1010.3,35289,0.21468,0,-18.836,1,0.094991,0.00425,0.064033
1,1011.1,38190,-0.083318,0,-13.111,1,0.14371,0.00425,-0.00088483
1,1010.9,37080,-0.32377,0,-18.975,1,0.084356,0.00425,0.09854
1,1009.1,31287,0.10344,0,-16.062,1,0.13036,0.00425,0.26828
1,1009.2,31461,-0.15126,0,-18.138,1,0.10494,0.00425,0.10688
1,1009.5,32646,0.20431,0,-10.417,1,0.1598,0.00425,0.079174
1,1003.3,11211,-0.33841,0,-18.354,1,0.10999,0.00425,0.16159
1,1010.5,36380,0.37865,0,-10.74,1,0.15908,0.00425,0.17798
1,1016.1,56055,-0.047866,0,-13.845,1,0.14565,0.00425,0.37226
1,1015.5,53768,-0.14,0,-10.508,1,0.15785,0.00425,0.10805
1,1010.7,37298,-0.48115,0,-11.141,1,0.15541,0.00425,0.29472
1,1012.8,44109,0.2772,0,-17.977,1,0.11168,0.00425,0.0059446
1,1010,34513,-0.11684,0,-16.678,1,0.1202,0.00425,0.31914
1,1015.7,54773,-0.23593,0,-18.528,1,0.080568,0.00425,0.36815
1,1016.2,56740,-0.062222,0,-17.339,1,0.11567,0.00425,0.37063
1,1011.7,40496,-0.47688,0,-15.636,1,0.13372,0.00425,0.24338
1,1004.5,14950,0.30039,0,-10.257,1,0.16061,0.00425,0.38994
1,1012.3,42928,-0.23239,0,-18.84,1,0.079506,0.00425,0.31757
1,1009.6,33052,-0.097392,0,-14.473,1,0.13721,0.00425,0.0080337
1,1014.7,51129,0.30343,0,-13.672,1,0.13682,0.00425,0.089703
1,1016.9,59079,0.096341,0,-15.046,1,0.13952,0.00425,0.37405
1,1017.1,60324,-0.24432,0,-12.75,1,0.14847,0.00425,0.023695
1,1010,34258,0.36075,0,-18.67,1,0.071519,0.00425,0.06401
